Designator,X-Coordinate,Y-Coordinate,Rotation,Layer
C478,320.000000,-167.500000,90.000000,Top
C479,323.000000,-167.500000,90.000000,Top
C480,326.000000,-167.500000,90.000000,Top
C481,320.000000,-170.000000,90.000000,Top
C482,323.000000,-170.000000,90.000000,Top
C483,326.000000,-170.000000,90.000000,Top
C484,320.000000,-172.500000,90.000000,Top
C485,323.000000,-172.500000,90.000000,Top
C486,326.000000,-172.500000,90.000000,Top
C487,36.000000,-55.000000,0.000000,Top
C488,36.000000,-66.500000,0.000000,Top
C489,36.000000,-78.000000,0.000000,Top
C490,36.000000,-89.500000,0.000000,Top
C491,36.000000,-101.000000,0.000000,Top
C492,36.000000,-112.500000,0.000000,Top
C493,36.000000,-124.000000,0.000000,Top
C494,36.000000,-135.500000,0.000000,Top
C495,36.000000,-147.000000,0.000000,Top
C496,36.000000,-158.500000,0.000000,Top
C497,36.000000,-170.000000,0.000000,Top
C498,36.000000,-181.500000,0.000000,Top
C499,36.000000,-193.000000,0.000000,Top
C500,36.000000,-204.500000,0.000000,Top
C501,36.000000,-216.000000,0.000000,Top
C502,36.000000,-227.500000,0.000000,Top
C503,36.000000,-239.000000,0.000000,Top
C504,36.000000,-250.500000,0.000000,Top
C505,36.000000,-262.000000,0.000000,Top
C506,36.000000,-273.500000,0.000000,Top
C507,36.000000,-285.000000,0.000000,Top
C508,36.000000,-296.500000,0.000000,Top
C509,36.000000,-308.000000,0.000000,Top
C510,36.000000,-319.500000,0.000000,Top
C511,44.000000,-55.000000,0.000000,Top
C512,44.000000,-66.500000,0.000000,Top
C513,44.000000,-89.500000,0.000000,Top
C514,44.000000,-112.500000,0.000000,Top
C515,44.000000,-147.000000,0.000000,Top
C516,44.000000,-170.000000,0.000000,Top
C517,44.000000,-193.000000,0.000000,Top
C518,44.000000,-227.500000,0.000000,Top
C519,44.000000,-250.500000,0.000000,Top
C520,44.000000,-273.500000,0.000000,Top
C521,44.000000,-308.000000,0.000000,Top
C522,44.000000,-319.500000,0.000000,Top
C523,376.000000,-55.000000,0.000000,Top
C524,376.000000,-66.500000,0.000000,Top
C525,376.000000,-89.500000,0.000000,Top
C526,376.000000,-112.500000,0.000000,Top
C527,376.000000,-147.000000,0.000000,Top
C528,376.000000,-170.000000,0.000000,Top
C529,376.000000,-193.000000,0.000000,Top
C530,376.000000,-227.500000,0.000000,Top
C531,376.000000,-250.500000,0.000000,Top
C532,376.000000,-273.500000,0.000000,Top
C533,376.000000,-308.000000,0.000000,Top
C534,376.000000,-319.500000,0.000000,Top
C535,384.000000,-55.000000,0.000000,Top
C536,384.000000,-66.500000,0.000000,Top
C537,384.000000,-78.000000,0.000000,Top
C538,384.000000,-89.500000,0.000000,Top
C539,384.000000,-101.000000,0.000000,Top
C540,384.000000,-112.500000,0.000000,Top
C541,384.000000,-124.000000,0.000000,Top
C542,384.000000,-135.500000,0.000000,Top
C543,384.000000,-147.000000,0.000000,Top
C544,384.000000,-158.500000,0.000000,Top
C545,384.000000,-170.000000,0.000000,Top
C546,384.000000,-181.500000,0.000000,Top
C547,384.000000,-193.000000,0.000000,Top
C548,384.000000,-204.500000,0.000000,Top
C549,384.000000,-216.000000,0.000000,Top
C550,384.000000,-227.500000,0.000000,Top
C551,384.000000,-239.000000,0.000000,Top
C552,384.000000,-250.500000,0.000000,Top
C553,384.000000,-262.000000,0.000000,Top
C554,384.000000,-273.500000,0.000000,Top
C555,384.000000,-285.000000,0.000000,Top
C556,384.000000,-296.500000,0.000000,Top
C557,384.000000,-308.000000,0.000000,Top
C558,384.000000,-319.500000,0.000000,Top
C559,392.000000,-55.000000,0.000000,Top
C560,392.000000,-66.500000,0.000000,Top
C561,392.000000,-78.000000,0.000000,Top
C562,392.000000,-89.500000,0.000000,Top
C563,392.000000,-101.000000,0.000000,Top
C564,392.000000,-112.500000,0.000000,Top
C565,392.000000,-124.000000,0.000000,Top
C566,392.000000,-135.500000,0.000000,Top
C567,392.000000,-147.000000,0.000000,Top
C568,392.000000,-158.500000,0.000000,Top
C569,392.000000,-170.000000,0.000000,Top
C570,392.000000,-181.500000,0.000000,Top
C571,392.000000,-193.000000,0.000000,Top
C572,392.000000,-204.500000,0.000000,Top
C573,392.000000,-216.000000,0.000000,Top
C574,392.000000,-227.500000,0.000000,Top
C575,392.000000,-239.000000,0.000000,Top
C576,392.000000,-250.500000,0.000000,Top
C577,392.000000,-262.000000,0.000000,Top
C578,392.000000,-273.500000,0.000000,Top
C579,392.000000,-285.000000,0.000000,Top
C580,392.000000,-296.500000,0.000000,Top
C581,392.000000,-308.000000,0.000000,Top
C582,392.000000,-319.500000,0.000000,Top
C711,70.000000,-20.000000,0.000000,Top
C712,70.000000,-25.000000,0.000000,Top
C713,70.000000,-325.000000,0.000000,Top
C714,70.000000,-330.000000,0.000000,Top
C715,95.000000,-20.000000,0.000000,Top
C716,95.000000,-25.000000,0.000000,Top
C717,95.000000,-325.000000,0.000000,Top
C718,95.000000,-330.000000,0.000000,Top
C719,120.000000,-20.000000,0.000000,Top
C720,120.000000,-25.000000,0.000000,Top
C721,120.000000,-325.000000,0.000000,Top
C722,120.000000,-330.000000,0.000000,Top
C723,145.000000,-20.000000,0.000000,Top
C724,145.000000,-25.000000,0.000000,Top
C725,145.000000,-325.000000,0.000000,Top
C726,145.000000,-330.000000,0.000000,Top
C727,275.000000,-20.000000,0.000000,Top
C728,275.000000,-25.000000,0.000000,Top
C729,275.000000,-325.000000,0.000000,Top
C730,275.000000,-330.000000,0.000000,Top
C731,300.000000,-20.000000,0.000000,Top
C732,300.000000,-25.000000,0.000000,Top
C733,300.000000,-325.000000,0.000000,Top
C734,300.000000,-330.000000,0.000000,Top
C735,325.000000,-20.000000,0.000000,Top
