Item,Designator,Quantity,Value,Footprint,Manufacturer,MPN,Distributor,DistributorPN,Package,Description,DNP
147,?,1,LightRail:C_0805,0805,,,,,0805,,No
148,?,1,LightRail:C_0805,0805,,,,,0805,,No
149,?,1,LightRail:C_0805,0805,,,,,0805,,No
150,?,1,LightRail:C_0805,0805,,,,,0805,,No
151,?,1,LightRail:C_0805,0805,,,,,0805,,No
152,?,1,LightRail:C_0805,0805,,,,,0805,,No
153,?,1,LightRail:C_Tantalum_3528,C_Tantalum_3528,,,,,C_Tantalum_3528,,No
154,?,1,LightRail:C_Tantalum_3528,C_Tantalum_3528,,,,,C_Tantalum_3528,,No
155,?,1,LightRail:C_Tantalum_3528,C_Tantalum_3528,,,,,C_Tantalum_3528,,No
156,?,1,LightRail:C_Tantalum_3528,C_Tantalum_3528,,,,,C_Tantalum_3528,,No
157,?,1,LightRail:C_Tantalum_3528,C_Tantalum_3528,,,,,C_Tantalum_3528,,No
158,?,1,LightRail:C_Tantalum_3528,C_Tantalum_3528,,,,,C_Tantalum_3528,,No
159,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
160,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
161,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
162,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
163,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
164,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
165,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
166,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
167,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
168,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
169,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
170,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
171,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
172,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
173,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
174,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
175,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
176,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
177,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
178,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
179,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
180,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
181,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
182,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
183,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
184,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
185,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
186,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
187,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
188,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
189,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
190,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
191,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
192,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
193,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
194,?,1,LightRail:C_01005,C_01005,,,,,C_01005,,No
195,?,1,LightRail:C_0402,0402,,,,,0402,,No
196,?,1,LightRail:C_0402,0402,,,,,0402,,No
197,?,1,LightRail:C_0402,0402,,,,,0402,,No
198,?,1,LightRail:C_0402,0402,,,,,0402,,No
199,?,1,LightRail:C_0402,0402,,,,,0402,,No
200,?,1,LightRail:C_0402,0402,,,,,0402,,No
201,?,1,LightRail:C_0402,0402,,,,,0402,,No
202,?,1,LightRail:C_0402,0402,,,,,0402,,No
203,?,1,LightRail:C_0402,0402,,,,,0402,,No
204,?,1,LightRail:C_0402,0402,,,,,0402,,No
205,?,1,LightRail:C_0402,0402,,,,,0402,,No
206,?,1,LightRail:C_0402,0402,,,,,0402,,No
207,?,1,LightRail:C_0402,0402,,,,,0402,,No
208,?,1,LightRail:C_0402,0402,,,,,0402,,No
209,?,1,LightRail:C_0402,0402,,,,,0402,,No
210,?,1,LightRail:C_0402,0402,,,,,0402,,No
211,?,1,LightRail:C_0402,0402,,,,,0402,,No
212,?,1,LightRail:C_0402,0402,,,,,0402,,No
213,?,1,LightRail:C_0805,0805,,,,,0805,,No
214,?,1,LightRail:C_0805,0805,,,,,0805,,No
215,?,1,LightRail:C_0805,0805,,,,,0805,,No
216,?,1,LightRail:C_0805,0805,,,,,0805,,No
217,?,1,LightRail:C_0805,0805,,,,,0805,,No
218,?,1,LightRail:C_0805,0805,,,,,0805,,No
219,?,1,LightRail:C_0805,0805,,,,,0805,,No
220,?,1,LightRail:C_0805,0805,,,,,0805,,No
221,?,1,LightRail:C_0805,0805,,,,,0805,,No
